appid,name,release_date,categories,genres,steamspy_tags,positive_ratings,negative_ratings,median_playtime,reclassified_genre,game_type
351910,Valhalla Hills,2015-12-02,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Indie;Simulation;Strategy,Strategy;City Builder;Simulation,447,407,126,Simulation,Singleplayer
366510,Ruzar - The Life Stone,2015-12-02,Single-player;Steam Achievements,RPG,RPG;Dungeon Crawler;Grid-Based Movement,64,24,0,RPG,Singleplayer
389850,Legacy of Dorn: Herald of Oblivion,2015-12-02,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;RPG,Adventure;RPG;Warhammer 40K,77,6,0,Adventure,Singleplayer
394870,Office Battle,2015-12-02,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards;Includes level editor,Violent;Action;Indie,Action;Indie;Violent,578,224,277,Action,Singleplayer
417110,Mayjasmine Episode01 - What is God?,2015-12-02,Single-player;Steam Trading Cards;Partial Controller Support;Steam Cloud;Commentary available,Adventure;Indie,Visual Novel;Indie;Adventure,189,88,277,Adventure,Singleplayer
421260,Militia,2015-12-02,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Strategy,Strategy;Turn-Based;Turn-Based Strategy,107,3,0,Strategy,Singleplayer
422250,ShipLord,2015-12-02,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure;Casual;Indie,Indie;Casual;Action,324,238,288,Action,Singleplayer
423760,Hit Tank PRO,2015-12-02,Single-player;Steam Trading Cards,Action;Adventure;Casual;Indie;Strategy,Casual;Action;Indie,69,43,0,Action,Singleplayer
304580,CITYCONOMY: Service for your City,2015-12-02,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Casual;Simulation,Simulation;Casual;Management,119,170,0,Simulation,Multiplayer
397040,Sphere III: Rage of the Devastator,2015-12-02,Multi-player;MMO;Steam Trading Cards,Action;Free to Play;Massively Multiplayer;RPG,Free to Play;RPG;Massively Multiplayer,144,165,0,RPG,Multiplayer
254860,Lords of the Realm III,2015-12-03,Single-player,Simulation;Strategy,Strategy;Simulation;RTS,8,13,0,Simulation,Singleplayer
254920,Lords of the Realm,2015-12-03,Single-player,Strategy,Strategy;Classic,27,7,0,Strategy,Singleplayer
369310,Monstro: Battle Tactics,2015-12-03,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie;Strategy,Indie;Strategy;Casual,20,2,0,Strategy,Singleplayer
377870,DARIUSBURST Chronicle Saviours,2015-12-03,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Shoot 'Em Up;Arcade;Action,375,65,31,Action,Singleplayer
