appid,name,release_date,categories,genres,steamspy_tags,positive_ratings,negative_ratings,median_playtime,appid
293680,Cinders,2014-05-01,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Adventure;Indie;RPG,Visual Novel;Female Protagonist;Indie,571,69,0,293680
294530,Freddi Fish 2: The Case of the Haunted Schoolhouse,2014-05-01,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Casual,Adventure;Casual;Family Friendly,124,4,0,294530
294580,Freddi Fish and Luther's Water Worries,2014-05-01,Single-player;Steam Cloud,Adventure;Casual,Casual;Adventure;Family Friendly,24,6,0,294580
294710,Putt-Putt® and Pep's Dog on a Stick,2014-05-01,Single-player;Steam Cloud,Adventure;Casual,Casual;Adventure;Family Friendly,30,2,0,294710
294770,Haegemonia: Legions of Iron,2014-05-01,Single-player;Multi-player,Action;Indie;Strategy,Strategy;Space;Action,25,20,0,294770
294790,Haegemonia: The Solon Heritage,2014-05-01,Single-player;Multi-player,Action;Indie;Strategy,Strategy;Indie;Action,42,25,0,294790
242880,"Sir, You Are Being Hunted",2014-05-02,Single-player;Multi-player;Steam Trading Cards;Partial Controller Support;Stats,Action;Indie,Survival;Stealth;Robots,2760,743,120,242880
277500,Farming World,2014-05-02,Single-player;Steam Trading Cards,Casual;Indie;Simulation,Simulation;Agriculture;Casual,97,153,334,277500
283350,Eurofighter Typhoon,2014-05-02,Single-player,Action,Action;Flight;Simulation,46,148,0,283350
285350,Kingdom Elemental,2014-05-02,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Indie;Strategy,Strategy;Indie,12,11,0,285350
291130,Akane the Kunoichi,2014-05-02,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Casual;Indie,Anime;Platformer;Action,326,357,86,291130
295870,The Dungeoning,2014-05-02,Single-player;Steam Achievements;Full controller support,Action;Indie;RPG,RPG;Indie;Action,52,20,0,295870
291050,Planet Stronghold,2014-05-05,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Indie;RPG;Strategy,Visual Novel;RPG;Indie,46,32,0,291050
294650,Putt-Putt® Goes to the Moon,2014-05-05,Single-player;Steam Cloud,Adventure;Casual,Adventure;Casual;Point & Click,88,8,0,294650
297210,Famaze,2014-05-05,Single-player,Casual;Free to Play;Indie;RPG;Strategy,RPG;Free to Play;Rogue-like,277,75,15,297210
298180,The Desolate Hope,2014-05-05,Single-player,Action;Adventure;Indie;RPG,RPG;Free to Play;Adventure,752,69,31751,298180
358200,Math Rescue,2014-05-05,Single-player;Partial Controller Support,Adventure,Adventure;Education;Platformer,29,8,0,358200
358210,Monster Bash,2014-05-05,Single-player;Partial Controller Support,Action,Action;1990's;Platformer,27,4,0,358210
358220,Mystic Towers,2014-05-05,Single-player;Partial Controller Support,Action;Adventure,Action;Adventure;Retro,17,5,0,358220
358230,Paganitzu,2014-05-05,Single-player;Partial Controller Support,Action;Adventure,Action;Adventure;Puzzle,16,9,0,358230
358250,Cosmo's Cosmic Adventure,2014-05-05,Single-player;Partial Controller Support,Action;Adventure,Action;Adventure;Platformer,52,9,0,358250
358260,Crystal Caves,2014-05-05,Single-player;Partial Controller Support,Action,Action;Classic;Platformer,45,12,0,358260
358270,Death Rally (Classic),2014-05-05,Single-player;Partial Controller Support,Racing,Racing;Classic;Retro,118,16,22,358270
358290,Hocus Pocus,2014-05-05,Single-player;Partial Controller Support,Action;Adventure,Action;Adventure;Platformer,60,10,14,358290
358300,Major Stryker,2014-05-05,Single-player;Partial Controller Support,Action,Action;Shoot 'Em Up;Classic,13,5,0,358300
358320,Realms of Chaos,2014-05-05,Single-player;Partial Controller Support,Action;Adventure,Action;Adventure;Platformer,19,6,0,358320
358340,Word Rescue,2014-05-05,Single-player;Partial Controller Support,Action;Adventure,Action;Adventure;Education,22,13,12,358340
358350,Secret Agent,2014-05-05,Single-player;Partial Controller Support,Action,Action;Platformer;Classic,43,7,0,358350
358360,Raptor: Call of the Shadows (1994 Classic Edition),2014-05-05,Single-player;Partial Controller Support,Action,Action;Shoot 'Em Up;Classic,71,9,1,358360
358370,Terminal Velocity,2014-05-05,Single-player;Partial Controller Support,Action,Action;1990's;Shooter,42,3,0,358370
358390,Stargunner,2014-05-05,Single-player;Partial Controller Support,Action;Free to Play,Action;Free to Play;Shoot 'Em Up,55,9,13,358390
358410,Rise of the Triad: Dark War,2014-05-05,Single-player;Partial Controller Support,Action,Action;FPS;Classic,40,4,3,358410
264060,Full Bore,2014-05-06,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Indie;Adventure;Puzzle,154,28,0,264060
268540,The Whispered World Special Edition,2014-05-06,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Commentary available,Adventure;Indie,Adventure;Point & Click;Indie,777,267,148,268540
286100,You Have to Win the Game,2014-05-06,Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats,Action;Indie,Free to Play;Retro;Platformer,5005,388,114,286100
295730,Sweezy Gunner,2014-05-06,Single-player;Steam Achievements;Steam Trading Cards,Action;Indie,Action;Indie;Bullet Hell,184,37,183,295730
299070,Warrior Kings: Battles,2014-05-06,Single-player,Strategy,Strategy;RTS;Fantasy,106,9,0,299070
299100,Back To Life 2,2014-05-06,Single-player,Indie,Indie,1,5,0,299100
225600,Blade Symphony,2014-05-07,Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Partial Controller Support;Steam Cloud;Stats;Includes level editor;Includes Source SDK,Action;Indie,Fighting;Action;Multiplayer,3129,1537,370,225600
273600,Descent: FreeSpace – The Great War,2014-05-07,Single-player;Multi-player;Includes level editor,Action,Action;Space;Simulation,123,30,0,273600
292760,Rise of Prussia Gold,2014-05-07,Single-player;Multi-player,Strategy,Strategy;Historical;Wargame,18,6,71,292760
225280,Full Mojo Rampage,2014-05-08,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;RPG,Action;RPG;Rogue-like,971,167,390,225280
243930,Bound By Flame,2014-05-08,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;RPG,RPG;Action;Fantasy,1843,943,731,243930
251630,The Impossible Game,2014-05-08,Single-player;Steam Achievements;Full controller support;Steam Cloud;Includes level editor,Indie,Indie;Great Soundtrack;Difficult,919,155,0,251630
261510,Tesla Effect: A Tex Murphy Adventure,2014-05-08,Single-player,Adventure;Indie,Adventure;FMV;Detective,865,121,82,261510
266840,Age of Mythology: Extended Edition,2014-05-08,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Simulation;Strategy,Strategy;RTS;Mythology,9336,1577,859,266840
286440,Rover Rescue,2014-05-08,Single-player,Action;Indie;Strategy,Indie;Strategy;Action,33,56,0,286440
290970,1849,2014-05-08,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Indie;Simulation;Strategy,Strategy;Simulation;Indie,199,84,0,290970
295930,Swipecart,2014-05-08,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards;Includes level editor,Casual;Indie;Racing,Indie;Racing;Casual,252,301,198,295930
296180,Iron Storm,2014-05-08,Single-player;Multi-player,Action;Adventure;Indie,Action;Adventure;Indie,46,23,0,296180
299110,Theatre Of The Absurd,2014-05-08,Single-player,Adventure,Adventure;Hidden Object;Point & Click,143,34,0,299110
299150,Empress Of The Deep,2014-05-08,Single-player,Adventure,Adventure;Hidden Object;Point & Click,67,32,0,299150
299160,Empress Of The Deep 2: Song Of The Blue Whale,2014-05-08,Single-player,Adventure,Adventure;Hidden Object;Casual,53,12,0,299160
244410,Supreme Ruler 1936,2014-05-09,Single-player;Multi-player;Steam Trading Cards,Indie;Simulation;Strategy,Strategy;Indie;Grand Strategy,169,61,0,244410
252690,Fantasy Grounds,2014-05-09,Multi-player;Co-op;Cross-Platform Multiplayer,Indie;RPG;Strategy,RPG;Strategy;Software,377,100,86148,252690
265630,Fistful of Frags,2014-05-09,Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Workshop;Stats;Steam Leaderboards;Includes level editor;Includes Source SDK,Action;Free to Play;Indie,Free to Play;Multiplayer;FPS,23803,2399,86,265630
266490,Lili: Child of Geos - Complete Edition,2014-05-09,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,Adventure;Indie;RPG,Adventure;Female Protagonist;Indie,795,116,0,266490
